,year,language,count
483,2020,English,7807
513,2021,English,7268
451,2019,English,6028
421,2018,English,5918
391,2017,English,4756
361,2016,English,3473
331,2015,English,2194
499,2020,Simplified Chinese,2097
529,2021,Simplified Chinese,2042
528,2021,Russian,1844
498,2020,Russian,1840
486,2020,German,1786
485,2020,French,1744
516,2021,German,1714
515,2021,French,1702
467,2019,Simplified Chinese,1619
490,2020,Japanese,1603
501,2020,Spanish - Spain,1560
520,2021,Japanese,1541
531,2021,Spanish - Spain,1515
466,2019,Russian,1467
437,2018,Simplified Chinese,1454
454,2019,German,1427
436,2018,Russian,1417
301,2014,English,1349
453,2019,French,1346
424,2018,German,1336
423,2018,French,1237
458,2019,Japanese,1201
469,2019,Spanish - Spain,1199
489,2020,Italian,1175
439,2018,Spanish - Spain,1164
519,2021,Italian,1117
394,2017,German,1106
406,2017,Russian,1081
393,2017,French,1054
428,2018,Japanese,1028
526,2021,Portuguese - Brazil,1028
521,2021,Korean,1024
534,2021,Traditional Chinese,1005
491,2020,Korean,1002
504,2020,Traditional Chinese,993
409,2017,Spanish - Spain,990
496,2020,Portuguese - Brazil,978
407,2017,Simplified Chinese,960
364,2016,German,925
363,2016,French,883
457,2019,Italian,877
427,2018,Italian,838
376,2016,Russian,822
379,2016,Spanish - Spain,815
398,2017,Japanese,809
472,2019,Traditional Chinese,779
459,2019,Korean,766
397,2017,Italian,743
524,2021,Polish,730
494,2020,Polish,729
334,2015,German,718
464,2019,Portuguese - Brazil,703
429,2018,Korean,665
333,2015,French,664
434,2018,Portuguese - Brazil,642
442,2018,Traditional Chinese,631
349,2015,Spanish - Spain,630
535,2021,Turkish,620
367,2016,Italian,614
495,2020,Portuguese,598
525,2021,Portuguese,594
505,2020,Turkish,591
368,2016,Japanese,570
530,2021,Spanish - Latin America,562
500,2020,Spanish - Latin America,554
304,2014,German,550
462,2019,Polish,546
346,2015,Russian,542
377,2016,Simplified Chinese,536
404,2017,Portuguese - Brazil,525
303,2014,French,507
432,2018,Polish,507
337,2015,Italian,494
399,2017,Korean,491
319,2014,Spanish - Spain,461
433,2018,Portuguese,456
412,2017,Traditional Chinese,453
463,2019,Portuguese,436
374,2016,Portuguese - Brazil,429
482,2020,Dutch,427
402,2017,Polish,414
473,2019,Turkish,414
468,2019,Spanish - Latin America,409
512,2021,Dutch,394
273,2013,English,390
307,2014,Italian,389
338,2015,Japanese,377
316,2014,Russian,366
443,2018,Turkish,362
372,2016,Polish,357
450,2019,Dutch,353
403,2017,Portuguese,323
508,2021,Arabic,319
510,2021,Czech,312
480,2020,Czech,308
369,2016,Korean,299
533,2021,Thai,297
461,2019,Not supported,296
478,2020,Arabic,286
536,2021,Ukrainian,280
502,2020,Swedish,280
506,2020,Ukrainian,280
488,2020,Hungarian,277
532,2021,Swedish,276
420,2018,Dutch,276
344,2015,Portuguese - Brazil,274
413,2017,Turkish,274
244,2012,English,272
503,2020,Thai,270
493,2020,Not supported,268
448,2019,Czech,267
518,2021,Hungarian,265
511,2021,Danish,255
522,2021,Norwegian,255
481,2020,Danish,254
382,2016,Traditional Chinese,254
514,2021,Finnish,251
342,2015,Polish,246
470,2019,Swedish,245
418,2018,Czech,241
276,2013,German,240
456,2019,Hungarian,240
474,2019,Ukrainian,239
484,2020,Finnish,238
537,2021,Vietnamese,237
446,2019,Arabic,236
492,2020,Norwegian,235
347,2015,Simplified Chinese,235
527,2021,Romanian,234
517,2021,Greek,232
390,2017,Dutch,228
507,2020,Vietnamese,227
487,2020,Greek,226
444,2018,Ukrainian,224
497,2020,Romanian,222
440,2018,Swedish,220
275,2013,French,220
471,2019,Thai,220
216,2011,English,218
158,2009,English,217
509,2021,Bulgarian,216
312,2014,Polish,210
449,2019,Danish,209
452,2019,Finnish,208
373,2016,Portuguese,208
360,2016,Dutch,204
460,2019,Norwegian,202
455,2019,Greek,201
426,2018,Hungarian,200
308,2014,Japanese,198
290,2013,Spanish - Spain,196
475,2019,Vietnamese,194
479,2020,Bulgarian,193
279,2013,Italian,191
465,2019,Romanian,190
186,2010,English,185
388,2017,Czech,184
339,2015,Korean,182
383,2016,Turkish,181
422,2018,Finnish,180
441,2018,Thai,180
419,2018,Danish,177
416,2018,Arabic,175
523,2021,Not supported,175
447,2019,Bulgarian,173
430,2018,Norwegian,171
414,2017,Ukrainian,170
314,2014,Portuguese - Brazil,164
431,2018,Not supported,164
438,2018,Spanish - Latin America,162
435,2018,Romanian,161
343,2015,Portuguese,158
425,2018,Greek,157
410,2017,Swedish,157
396,2017,Hungarian,150
287,2013,Russian,144
358,2016,Czech,139
317,2014,Simplified Chinese,139
417,2018,Bulgarian,138
386,2017,Arabic,137
247,2012,German,135
330,2015,Dutch,134
411,2017,Thai,129
380,2016,Swedish,124
389,2017,Danish,123
392,2017,Finnish,123
246,2012,French,122
384,2016,Ukrainian,121
219,2011,German,120
309,2014,Korean,120
300,2014,Dutch,120
366,2016,Hungarian,114
352,2015,Traditional Chinese,114
262,2012,Spanish - Spain,114
395,2017,Greek,113
400,2017,Norwegian,112
218,2011,French,110
405,2017,Romanian,109
328,2015,Czech,105
353,2015,Turkish,103
250,2012,Italian,102
233,2011,Spanish - Spain,101
161,2009,German,101
160,2009,French,98
128,2008,English,97
283,2013,Polish,96
189,2010,German,96
313,2014,Portuguese,94
387,2017,Bulgarian,92
298,2014,Czech,90
222,2011,Italian,87
359,2016,Danish,84
164,2009,Italian,84
175,2009,Spanish - Spain,83
350,2015,Swedish,81
370,2016,Norwegian,79
188,2010,French,78
401,2017,Not supported,75
280,2013,Japanese,75
362,2016,Finnish,75
285,2013,Portuguese - Brazil,75
204,2010,Spanish - Spain,72
336,2015,Hungarian,71
259,2012,Russian,70
356,2016,Arabic,70
375,2016,Romanian,68
322,2014,Traditional Chinese,67
365,2016,Greek,66
192,2010,Italian,65
381,2016,Thai,64
445,2018,Vietnamese,62
329,2015,Danish,60
320,2014,Swedish,57
103,2007,English,57
354,2015,Ukrainian,57
323,2014,Turkish,56
288,2013,Simplified Chinese,51
357,2016,Bulgarian,51
255,2012,Polish,51
306,2014,Hungarian,51
230,2011,Russian,51
332,2015,Finnish,47
78,2006,English,47
251,2012,Japanese,46
408,2017,Spanish - Latin America,46
281,2013,Korean,44
172,2009,Russian,44
226,2011,Polish,43
340,2015,Norwegian,42
272,2013,Dutch,39
345,2015,Romanian,39
310,2014,Norwegian,37
326,2015,Arabic,36
131,2008,German,36
270,2013,Czech,36
130,2008,French,35
105,2007,French,34
284,2013,Portuguese,33
351,2015,Thai,33
299,2014,Danish,33
119,2007,Spanish - Spain,31
335,2015,Greek,31
106,2007,German,31
200,2010,Russian,31
278,2013,Hungarian,30
302,2014,Finnish,30
293,2013,Traditional Chinese,30
327,2015,Bulgarian,30
145,2008,Spanish - Spain,29
378,2016,Spanish - Latin America,29
133,2008,Italian,28
109,2007,Italian,27
294,2013,Turkish,26
168,2009,Polish,26
324,2014,Ukrainian,24
223,2011,Japanese,24
241,2012,Czech,20
291,2013,Swedish,20
415,2017,Vietnamese,20
252,2012,Korean,19
