,year,platform,count
0,1998,linux,1
1,1998,mac,1
2,1998,windows,1
3,1999,linux,2
4,1999,mac,2
5,1999,windows,2
6,2000,linux,2
7,2000,mac,2
8,2000,windows,2
9,2001,linux,2
10,2001,mac,2
11,2001,windows,5
12,2002,windows,1
13,2003,linux,1
14,2003,mac,2
15,2003,windows,3
16,2004,linux,5
17,2004,mac,5
18,2004,windows,5
19,2005,linux,1
20,2005,mac,1
21,2005,windows,5
22,2006,linux,10
23,2006,mac,14
24,2006,windows,47
25,2007,linux,3
26,2007,mac,8
27,2007,windows,57
28,2008,linux,6
29,2008,mac,9
30,2008,windows,97
31,2009,linux,29
32,2009,mac,48
33,2009,windows,217
34,2010,linux,27
35,2010,mac,52
36,2010,windows,185
37,2011,linux,46
38,2011,mac,76
39,2011,windows,218
40,2012,linux,75
41,2012,mac,119
42,2012,windows,272
43,2013,linux,165
44,2013,mac,198
45,2013,windows,390
46,2014,linux,424
47,2014,mac,593
48,2014,windows,1349
49,2015,linux,692
50,2015,mac,946
51,2015,windows,2194
52,2016,linux,882
53,2016,mac,1264
54,2016,windows,3473
55,2017,linux,939
56,2017,mac,1364
57,2017,windows,4757
58,2018,linux,875
59,2018,mac,1436
60,2018,windows,5927
61,2019,linux,743
62,2019,mac,1264
63,2019,windows,6038
64,2020,linux,888
65,2020,mac,1451
66,2020,windows,7872
67,2021,linux,748
68,2021,mac,1103
69,2021,windows,7463
